"GRUPO AEROPORTUARIO DEL SURESTE , S.A.B. de C.V.",ASR,NYSE,2:1
Grupo Televisa S.A.,TV,NYSE,3:1
Harley-Davidson Inc.,HOG,NYSE,3:1
HARMONY GOLD MINING COMPANY LTD.,HMY,NYSE,1:1
HDFC BANK LIMITED.,HDB,NYSE,2:1
Hecla Mining Co .,HL,NYSE,1:1
"Home Depot Inc., The",HD,NYSE,4:1
Hon Hai Precision Industry Co. Ltd.,HHPD,LONDON STOCK EXCHANGE,2:1
Honda Motor Co. LTD,HMC,NYSE,1:1
HONEYWELL INTERNATIONAL INC.,HON,NYSE,4:1
HP Inc,HPQ,NYSE,1:1
HSBC Holdings PLC,HSBC,NYSE,2:1
Huaneng Power Intl,HNP,NYSE,1:1
ICICI BANK LTD.,IBN,NYSE,1:1
Infosys Limited,INFY,NASDAQ,1:1
ING Groep NV,ING,NYSE,3:1
Intel Corporation,INTC,NASDAQ,5:1
International Business Machines,IBM,NYSE,5:1
International Flavors & Fragrances Inc.,IFF,NYSE,2:1
International Paper Co.,IP,NYSE,4:1
ITAÚ UNIBANCO HOLDING S.A.,ITUB,NYSE,1:1
J.P. Morgan & Chase Co.,JPM,NYSE,5:1
"JD.COM, INC.",JD,NASDAQ,2:1
Johnson & Johnson,JNJ,NYSE,5:1
JOHNSON CONTROLS INTERNATIONAL,JCI,NYSE,2:1
KB Financial Group Inc.,KB,NYSE,2:1
Kimberly-Clark Corp.,KMB,NYSE,3:1
Kinross Gold Corp,KGC,NYSE,1:1
Koninklijke Philips N.V.,PHG,NYSE,5:1
Korea Electric Power Corp.,KEP,NYSE,1:1
Las Vegas Sands Corp,LVS,NYSE,1:1
Lloyds Banking Group plc,LYG,NYSE,2:1
LM Ericsson Telephone Co.,ERIC,NASDAQ,2:1
Lockheed Martin Corporation,LMT,NYSE,1:1
Marsh & McLennan Companies Inc.,MMC,NYSE,4:1
McDonald's Corp.,MCD,NYSE,4:1
MEDTRONIC PUBLIC LIMITED COMPANY,MDT,NYSE,2:1
MercadoLibre Inc.,MELI,NASDAQ,2:1
Merck & Co. Inc.,MRK,NYSE,5:1
Microsoft Corp,MSFT,NASDAQ,5:1
Mitsubishi UFJ Financial Group,MUFG,NYSE,1:1
Mizuho Financial Group,MFG,NYSE,1:1
Mobile Telesystems,MBT,NYSE,2:1
